IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
17,1415.78372,729.9134705,0.738717072,1.064560488,61.35684134,188.3280288,861.7137561,1756.734831,520.879442,3.02984143,2.1511375,0.590375103,0.010920646,7.971126916,9.899139632,351.9309548,351.9309548,721.9423436,712.0432039,142.4086408,569.6345632,51.46063458,0.037957976,0.844977064,2638.472213
18,1548.049333,791.7639711,0.747286292,1.035657715,62.36436599,189.7799662,861.8524134,1757.807166,521.1203868,3.030695947,2.185190757,0.629394163,0.011269138,8.922497771,9.763621746,343.1326809,343.1326809,782.8414733,773.0778516,154.6155703,618.4622813,55.5866821,0.037313769,0.857845481,2499.238665
19,1687.185502,856.502259,0.754146276,1.009354986,63.38357806,191.1924835,861.982237,1758.879617,521.3306298,3.031495898,2.215304228,0.668289078,0.011581872,9.919899414,9.606919171,334.5543639,334.5543639,846.5823596,836.9754404,167.3950881,669.5803523,59.91514513,0.036692556,0.869935715,2363.084402
20,1833.241608,924.1421129,0.759367764,0.985227472,64.41214636,192.569127,862.1018154,1759.951968,521.5153435,3.032232614,2.241975499,0.706964456,0.011862432,10.96257276,9.4315988,326.1905048,326.1905048,913.1795402,903.7479414,180.7495883,722.9983531,64.44739491,0.036093144,0.881308038,2230.773348
21,1986.258778,994.6926763,0.763024358,0.962910199,65.44783617,193.9128633,862.2103412,1761.024041,521.6784809,3.032901147,2.265637029,0.745339732,0.012114142,12.04984863,9.240089528,318.0357422,318.0357422,982.6428277,973.4027382,194.6805476,778.7221905,69.18436816,0.035514391,0.892017032,2102.874148
22,2146.268684,1068.158115,0.765191493,0.942090463,66.48851314,195.2261615,862.3073807,1762.095686,521.8230952,3.033498852,2.286664863,0.783347165,0.012340053,13.1811282,9.034674822,310.0848486,310.0848486,1054.976987,1045.942312,209.1884624,836.7538494,74.12655713,0.034955225,0.902112206,1979.793077
23,2313.292507,1144.53734,0.765945625,0.922501213,67.53214584,196.5110639,862.3927241,1763.166772,521.9515677,3.03402446,2.305386113,0.820930107,0.01254294,14.3558633,8.81748944,302.3327274,302.3327274,1130.181477,1121.363987,224.2727975,897.0911899,79.2740037,0.034414645,0.911638544,1861.802542
24,2487.34008,1223.823796,0.765363575,0.903915271,68.57680708,197.7692488,862.4662894,1764.237189,522.0657707,3.034477488,2.322085411,0.858041507,0.01272531,15.57353761,8.590519224,294.7744092,294.7744092,1208.250259,1199.659739,239.9319479,959.7277916,84.62629716,0.03389172,0.920636981,1749.065522
25,2668.409183,1306.005305,0.763522011,0.886140261,69.62067448,199.0020847,862.5280616,1765.306837,522.1671866,3.034857863,2.337010477,0.894642605,0.012889418,16.83364881,8.355603078,287.405049,287.405049,1289.171656,1280.816053,256.1632105,1024.652842,90.18257509,0.033385589,0.929144841,1641.656369
26,2856.484991,1391.063963,0.760497014,0.869014166,70.6620302,200.2106776,862.5780556,1766.375627,522.2569949,3.03516569,2.350376945,0.930701802,0.013037281,18.13569234,8.114436553,280.2199228,280.2199228,1372.928271,1364.813834,272.9627668,1091.851067,95.94152714,0.032895454,0.937196205,1539.578384
27,3051.539657,1478.976097,0.756363741,0.85240142,71.69926017,201.3959124,862.6162948,1767.44348,522.3361373,3.035401128,2.362372543,0.96619368,0.013170698,19.4791468,7.868576522,273.2144247,273.2144247,1459.49695,1451.628373,290.3256747,1161.302699,101.9014014,0.032420576,0.944822248,1442.778581
28,3253.532025,1569.712257,0.751196133,0.836189479,72.73085283,202.5584893,862.6427992,1768.510323,522.405367,3.035564309,2.373160723,1.001098152,0.013291265,20.86346109,7.61944662,266.3840641,266.3840641,1548.848796,1541.229349,308.2458699,1232.98348,108.0600131,0.03114083,0.952051534,1351.160013
29,3462.407475,1663.237265,-14.0072536,-13.93203448,73.75539747,203.6989551,862.657581,1769.576087,522.4652867,3.035655315,2.382883814,1.035399716,0.013400399,22.28804337,11.83698466,347.6985262,347.6985262,1640.949222,1629.112237,325.8224474,1303.28979,114.1017751,0.03151972,0.958585499,1264.163715
30,3673.629227,1758.868714,-13.87020962,-13.80364071,54.65112361,184.6972714,842.5401838,1770.64071,522.5163779,2.91033458,2.379069137,1.069086819,0.013357529,23.49414003,11.42814478,339.006063,339.006063,1735.374574,1723.946429,344.7892858,1379.157143,120.6340648,0.031162202,0.965108057,1182.533344
31,3893.187751,1857.435984,-13.72008281,-13.66116932,35.73376188,165.8707019,825.0220024,1771.70413,520.1445698,2.7987437,2.364826506,1.101836377,0.013198074,24.5145783,11.02183886,330.5309114,330.5309114,1832.921406,1821.899567,364.3799134,1457.519653,127.3879608,0.030797954,0.971334324,1105.651402
32,4120.788002,1958.856203,-13.55752646,-13.50538802,17.02115576,147.238447,809.3354428,1772.749389,516.153615,2.696790763,2.342452997,1.13341113,0.012949523,25.36625357,10.61897017,322.2676386,322.2676386,1933.489949,1922.870979,384.5741958,1538.296783,134.3562012,0.030431062,0.977275567,1033.314912
33,4356.155086,2063.046457,-13.38329286,-13.33715035,-1.469742303,128.8186597,794.961511,1773.765181,511.0919683,2.601618984,2.313662016,1.163637176,0.012633155,26.06278638,10.2204387,314.2109477,314.2109477,2036.983671,2026.763232,405.3526465,1621.410586,141.5317646,0.030064566,0.982943973,965.3190481
34,4599.029249,2169.923208,-13.19820125,-13.15736513,-19.72300589,110.6283292,781.5498249,1774.744052,505.3344523,2.511253515,2.279747323,1.192387797,0.012265505,26.61520384,9.827112281,306.355674,306.355674,2143.308004,2133.480892,426.6961784,1706.784714,148.9077797,0.029700696,0.988352144,901.4587997
35,4849.161673,2279.401817,-13.00311245,-12.96697247,-37.72382594,92.68320491,768.8642743,1775.681187,499.1377438,2.424342054,2.241699802,1.219571786,0.011859514,27.03259887,9.439806793,298.6967821,298.6967821,2252.369218,2242.929411,448.5858822,1794.343529,156.4774455,0.029341065,0.993512725,841.5305474
36,5106.310888,2391.396175,-12.79890885,-12.76692498,-55.45856741,74.99775419,756.7461084,1776.573572,492.6780742,2.339968152,2.200290407,1.245124986,0.011425416,27.3226956,9.059273043,291.2293626,291.2293626,2364.073479,2355.014206,471.0028412,1884.011365,164.2339649,0.028986813,0.998438164,785.3334727
37,5370.239722,2505.818418,-12.58647882,-12.55817309,-72.91479879,57.58514511,745.0888689,1777.419431,486.076845,2.257518662,2.156129075,1.269004122,0.010971387,27.49230237,8.686188867,283.9486285,283.9486285,2478.326116,2469.639927,493.9279854,1975.711942,172.1704942,0.028638736,1.003140544,732.6707709
38,5640.71278,2622.578736,-12.36670447,-12.3416539,-90.08130018,40.45724946,733.8213706,1778.217843,479.4180359,2.176590471,2.109706659,1.291182245,0.010504035,27.54765822,8.321155101,276.8499128,276.8499128,2595.031078,2586.709923,517.3419845,2069.367938,180.2801053,0.028297365,1.007631483,683.3506536
39,5917.494412,2741.585256,-12.14045237,-12.11828262,-106.9480548,23.62466094,722.8961526,1778.968473,472.760035,2.09692527,2.061424895,1.311645356,0.010028755,27.49468776,7.964694452,269.928665,269.928665,2714.090568,2706.125874,541.2251748,2164.900699,188.5557607,0.027963045,1.011922076,637.1871476
