PERIOD,L,GA,AL,GSIG,SIGMA,PBACKTIME,COST1,ETREE,CUMETREE,RR,CPRICEBASE
74,11499.860873617496,0.012252540953863031,71.79881555812278,-0.010549862283015226,0.003318124797253144,86.63624793509534,0.00011056533946708129,0.000348202679597503,130.83151637041198,0.0043640988491773555,2754.8165839321537
75,11499.87951645509,0.011950024639835698,72.68944597180595,-0.010497218364777097,0.003147632213204307,84.47034173671796,0.00010226214181187296,0.00030815937144379013,130.83199127859473,0.00405101981783975,3041.5401066564928
76,11499.895661176868,0.011654977480214563,73.56859246447446,-0.01044483714021715,0.0029866859656588842,82.3585831933,9.460739406729953e-05,0.0002727210437277543,130.83241157233647,0.0037604009743326225,3358.1060439223147
77,11499.90964252424,0.011367215060920262,74.43614404705693,-0.010392717298491309,0.002834711630339753,80.2996186134675,8.754856261363185e-05,0.00024135812369906255,130.8327835322979,0.003490631032089685,3707.620418204524
78,11499.9217503848,0.011086557521073279,75.29200445405392,-0.010340857535296618,0.0026911715730690254,78.29212814813081,8.103751910281805e-05,0.00021360193947367036,130.83311271686378,0.003240214297718595,4093.512529291971
79,11499.932235802344,0.010812829440575029,76.13609161315284,-0.010289256552838607,0.0025555624595286533,76.33482494442754,7.503015883948863e-05,0.00018903771643419826,130.8334040452046,0.0030077623783842703,4519.568601249944
80,11499.941316181661,0.010545859730464598,76.96833711469876,-0.010237913059798813,0.0024274129421779688,74.42645432081684,6.948605325337238e-05,0.00016729837904426545,130.8336618707862,0.0027919864841018235,4989.968931385539
81,11499.949179795942,0.010285481525982566,77.78868568252385,-0.010186825771302466,0.002306281511141129,72.56579296279642,6.436813332745863e-05,0.00014805906545417493,130.83389004642592,0.0025916902822605073,5509.328905707192
82,11499.955989690256,0.010031532082275097,78.59709464751678,-0.010135993408886334,0.002191754496900748,70.75164813872651,5.964240114276664e-05,0.0001310322729269448,130.83409198186706,0.002405763264761773,6082.744283306173
83,11499.961887061989,0.009783852672673118,79.39353342519684,-0.010085414700466727,0.002083444213574808,68.98285693525835,5.527766696831647e-05,0.00011596356154034616,130.83427069473248,0.0022331745909966974,6715.8411939728885
84,11499.966994188353,0.009542288489482987,80.17798299844571,-0.010035088380307668,0.001980987232419069,67.25828551187689,5.1245309566701756e-05,0.00010262775196320636,130.83442885561837,0.002072967372526201,7414.8313396052345
85,11499.971416961618,0.009306688547226624,80.95043540644326,-0.009985013188989214,0.0018840427759930702,65.57682837407997,4.751905760412414e-05,9.082556048743763e-05,130.8345688280024,0.0019242533677764455,8186.57294102388
86,11499.97524708464,0.00907690558827069,81.71089324075061,-0.00993518787337594,0.0017922912241600468,63.93740766472797,4.40747902511674e-05,8.03806210313823e-05,130.83469270356227,0.0017862080573350617,9038.638028181032
87,11499.978563972207,0.00885279599078577,82.45936914938797,-0.009885611186585583,0.0017054327237650618,62.33897247310977,4.089035523905031e-05,7.113684961277334e-05,130.83480233343275,0.00165806607254402,9979.38673398818
88,11499.981436397613,0.008634219678978042,83.19588534966132,-0.009836281887957828,0.001623185894456124,60.78049816128202,3.794540279746513e-05,6.29561119073044e-05,130.83489935586812,0.0015391169520437631,11018.049320705095
89,11499.983923918593,0.008421040035537375,83.92047315040571,-0.00978719874302327,0.0015452866236844403,59.26098570724997,3.522123404606469e-05,5.5716159037964404e-05,130.8349852207234,0.0014287012027414804,12164.816743701298
90,11499.986078112197,0.008213123816247024,84.63317248422995,-0.009738360523472522,0.0014714869444462748,57.779461064568714,3.270066254371335e-05,4.930880074859849e-05,130.83506121112035,0.0013262066433642353,13430.940641166539
91,11499.987943644184,0.008010341066701688,85.33403145027054,-0.009689766007125471,0.0014015539898138364,56.3349745379545,3.036788781912731e-05,4.3638288662509665e-05,130.83512846262164,0.0012310650103244064,14828.843730830675
92,11499.98955919513,0.007812565041081765,86.02310586788933,-0.009641413977900694,0.0013352690187495627,54.92660017450563,2.8208379814716033e-05,3.861988546632106e-05,130.8351879802003,0.0011427488070792308,16372.241696862819
93,11499.990958262431,0.007619672122933081,86.7004588416816,-0.009593303225785027,0.0012724265081102025,53.55343517014299,2.6208773273404287e-05,3.4178598637694134e-05,130.8352406532574,0.0010607683795162736,18076.277762856833
94,11499.992169854851,0.007431541747902603,87.3661603380975,-0.009545432546803284,0.0012128333061270518,52.21459929088942,2.4356771186949473e-05,3.024805979435931e-05,130.8352872689129,0.0009846692011497894,19957.671271281273
95,11499.993219093993,0.007248056328381771,88.02028677392025,-0.009497800742988128,0.0011563078429991623,50.90923430861718,2.264105650466772e-05,2.676953291800799e-05,130.83532852376806,0.0009140293530762149,22034.881727197793
96,11499.994127735165,0.007069101180010425,88.66292061678958,-0.00945040662235009,0.0011026793945596825,49.636503450901756,2.105121137434613e-05,2.3691036632437068e-05,130.83536503431486,0.0008484571847168337,24328.28991578155
97,11499.994914618479,0.006894564449995347,89.29414999790782,-0.009403248998847738,0.001051787395273906,48.395590864629206,1.9577643253173074e-05,2.0966567419706807e-05,130.8353973461488,0.0007875891423780011,26860.39787069855
98,11499.995596059473,0.0067243370471986325,89.91406833701869,-0.009356326692358006,0.0010034807971030586,47.18570109301347,1.8211517286416856e-05,1.8555412166440525e-05,130.83542594212182,0.000731087753589752,29656.04965535243
99,11499.996186187405,0.006558312573952158,90.52277397970562,-0.009309638528646644,0.0009576174710222173,46.006058565688136,1.694469440591319e-05,1.6421539767299864e-05,130.83545124955793,0.0006786397560473015,32742.675123220597
100,11499.99669723822,0.006396387259555587,91.12036984701648,-0.009263183339338852,0.0009140636482156707,44.85590710154593,1.576967464971626e-05,1.453306269406038e-05,130.83547364663892,0.0006299543607816721,36150.55904896206
