PERIOD,L,GA,AL,GSIG,SIGMA,PBACKTIME,COST1,ETREE,CUMETREE,RR,CPRICEBASE
40,11481.48797,0.028666619,36.67428674,-0.012505867,0.023554575,204.9003507,0.001856285,0.022169756,130.5727157,0.05484307,95.07437721
41,11483.96685,0.027958838,37.75664201,-0.012443462,0.022126826,199.7778419,0.001700173,0.019620234,130.6029527,0.050908646,104.9697948
42,11486.114,0.027268531,38.84263699,-0.012381369,0.020792106,194.7833959,0.001557676,0.017363907,130.6297124,0.047256477,115.8951353
43,11487.97375,0.026595269,39.93151064,-0.012319586,0.019543965,189.913811,0.001427565,0.015367058,130.6533948,0.043866312,127.9575941
44,11489.58454,0.025938629,41.02251547,-0.012258111,0.018376426,185.1659657,0.001308726,0.013599846,130.6743537,0.040719357,141.2755232
45,11490.97966,0.025298202,42.11491874,-0.012196943,0.017283946,180.5368166,0.001200149,0.012035864,130.6929023,0.037798164,155.9795932
46,11492.18798,0.024673588,43.20800355,-0.01213608,0.016261386,176.0233962,0.001100917,0.010651739,130.7093178,0.035086536,172.2140745
47,11493.23448,0.024064394,44.30106988,-0.012075521,0.01530398,171.6228113,0.001010197,0.009426789,130.7238456,0.032569439,190.1382537
48,11494.14083,0.023470242,45.39343542,-0.012015264,0.014407305,167.332241,0.000927233,0.008342709,130.7367026,0.030232918,209.9279959
49,11494.92578,0.02289076,46.48443641,-0.011955308,0.013567253,163.148935,0.00085134,0.007383297,130.7480811,0.028064019,231.7774703
50,11495.6056,0.022325585,47.57342834,-0.011895651,0.012780013,159.0702116,0.000781892,0.006534218,130.7581511,0.026050715,255.9010556
51,11496.19435,0.021774365,48.65978656,-0.011836291,0.012042045,155.0934563,0.000718324,0.005782783,130.767063,0.024181845,282.535443
52,11496.70423,0.021236754,49.74290674,-0.011777228,0.011350057,151.2161199,0.00066012,0.005117763,130.77495,0.022447048,311.9419588
53,11497.14581,0.020712416,50.82220539,-0.01171846,0.010700994,147.4357169,0.000606811,0.00452922,130.7819301,0.020836704,344.4091284
54,11497.52823,0.020201025,51.89712015,-0.011659984,0.010092013,143.749824,0.000557971,0.00400836,130.7881074,0.019341885,380.2555072
55,11497.85942,0.01970226,52.96711006,-0.011601801,0.009520472,140.1560784,0.000513212,0.003547398,130.7935743,0.017954305,419.8328058
56,11498.14623,0.019215809,54.03165578,-0.011543908,0.008983912,136.6521764,0.000472181,0.003139448,130.7984126,0.016666269,463.5293414
57,11498.39462,0.018741369,55.0902597,-0.011486304,0.008480046,133.235872,0.000434556,0.002778411,130.8026944,0.015470636,511.7738476
58,11498.60973,0.018278643,56.14244601,-0.011428987,0.008006745,129.9049752,0.000400045,0.002458894,130.8064839,0.014360778,565.0396807
59,11498.79602,0.017827342,57.18776069,-0.011371956,0.007562028,126.6573508,0.000368379,0.002176121,130.8098375,0.01333054,623.8494645
60,11498.95734,0.017387183,58.22577142,-0.01131521,0.007144049,123.490917,0.000339317,0.001925867,130.8128055,0.012374212,688.7802178
61,11499.09705,0.016957892,59.25606753,-0.011258747,0.006751087,120.4036441,0.000312637,0.001704392,130.8154321,0.01148649,760.4690161
62,11499.21804,0.0165392,60.27825976,-0.011202566,0.006381543,117.393553,0.000288135,0.001508387,130.8177567,0.010662453,839.6192421
63,11499.32282,0.016130846,61.29198009,-0.011146665,0.006033921,114.4587142,0.000265629,0.001334923,130.819814,0.009897532,927.0074872
64,11499.41356,0.015732574,62.2968815,-0.011091043,0.00570683,111.5972463,0.000244949,0.001181407,130.8216347,0.009187486,1023.491171
65,11499.49214,0.015344135,63.2926376,-0.011035698,0.005398972,108.8073152,0.000225941,0.001045545,130.823246,0.008528379,1130.016954
66,11499.56019,0.014965287,64.27894239,-0.01098063,0.005109134,106.0871323,0.000208467,0.000925307,130.824672,0.007916556,1247.630026
67,11499.61913,0.014595793,65.25550985,-0.010925837,0.004836188,103.434954,0.000192397,0.000818897,130.825934,0.007348625,1377.484362
68,11499.67016,0.014235422,66.22207353,-0.010871317,0.004579078,100.8490801,0.000177614,0.000724724,130.8270509,0.006821437,1520.85404
69,11499.71436,0.013883948,67.17838618,-0.010817069,0.004336819,98.32785314,0.000164012,0.000641381,130.8280393,0.006332069,1679.145751
70,11499.75264,0.013541152,68.12421929,-0.010763091,0.004108491,95.86965681,0.000151492,0.000567622,130.8289141,0.005877808,1853.912589
71,11499.78578,0.01320682,69.05936261,-0.010709383,0.003893234,93.47291539,0.000139966,0.000502345,130.8296883,0.005456136,2046.8693
72,11499.81449,0.012880742,69.98362371,-0.010655943,0.003690247,91.1360925,0.000129352,0.000444576,130.8303734,0.005064715,2259.909101
73,11499.83935,0.012562716,70.89682746,-0.01060277,0.003498778,88.85769019,0.000119574,0.000393449,130.8309798,0.004701374,2495.122255
74,11499.86087,0.012252541,71.79881556,-0.010549862,0.003318125,86.63624794,0.000110565,0.000348203,130.8315164,0.004364099,2754.816584
75,11499.87952,0.011950025,72.68944597,-0.010497218,0.003147632,84.47034174,0.000102262,0.000308159,130.8319913,0.00405102,3041.540107
76,11499.89566,0.011654977,73.56859246,-0.010444837,0.002986686,82.35858319,9.46E-05,0.000272721,130.8324116,0.003760401,3358.106044
77,11499.90964,0.011367215,74.43614405,-0.010392717,0.002834712,80.29961861,8.75E-05,0.000241358,130.8327835,0.003490631,3707.620418
